iter	RMSE
0	28810.20627
1	28646.12035
2	28433.05544
3	28299.56018
4	28170.64672
5	27867.71456
6	27528.91852
7	27388.40159
8	27060.49402
9	26880.00387
10	26563.29787
11	26236.65725
12	25942.7558
13	25628.38269
14	25516.27598
15	25391.59624
16	25247.35298
17	25123.429
18	24821.70429
19	24654.14503
20	24537.14039
21	24282.04096
22	24175.86272
23	24061.15209
24	23963.23113
25	23680.60712
26	23453.77876
27	23346.87217
28	23112.90549
29	23008.90582
30	22893.69679
31	22804.36668
32	22627.82087
33	22540.45022
34	22454.20075
35	22361.01196
36	22274.89734
37	21977.80181
38	21733.17672
39	21535.34727
40	21438.24486
41	21213.40031
42	21125.03287
43	20894.42557
44	20775.64408
45	20692.45065
46	20576.80528
47	20492.5074
48	20277.41419
49	20205.34436
50	20070.81692
51	20000.36484
52	19794.56067
53	19725.92792
54	19578.43912
55	19511.2893
56	19285.69465
57	19220.11271
58	19141.43138
59	19074.08991
60	18919.61428
61	18686.62806
62	18624.82838
63	18561.46858
64	18455.29328
65	18395.82508
66	18332.79905
67	18267.81255
68	18201.71788
69	18120.18693
70	18062.46101
71	17947.55704
72	17780.66226
73	17645.64072
74	17552.61986
75	17499.94839
76	17363.71739
77	17312.19356
78	17261.40957
79	17142.38259
80	17053.97164
81	16857.52752
82	16770.9002
83	16616.22082
84	16555.67619
85	16417.70054
86	16364.02252
87	16310.92234
88	16227.08934
89	16175.71624
90	16131.65588
91	16027.39929
92	15914.15084
93	15835.71118
94	15711.22207
95	15635.65175
96	15590.09662
97	15515.61535
98	15475.08575
99	15403.3104
