iter	Passed	Remaining
0	2	226
1	3	152
2	5	174
3	7	172
4	7	145
5	10	165
6	13	178
7	14	168
8	15	154
9	16	149
10	18	149
11	20	150
12	23	154
13	25	154
14	26	151
15	27	142
16	27	134
17	28	130
18	31	133
19	32	130
20	36	136
21	37	131
22	37	125
23	38	122
24	39	117
25	39	113
26	40	108
27	40	105
28	41	101
29	42	99
30	44	99
31	45	95
32	49	100
33	50	97
34	50	94
35	51	92
36	53	91
37	55	89
38	56	89
39	57	86
40	58	83
41	59	82
42	60	80
43	62	79
44	66	81
45	67	78
46	68	77
47	69	74
48	69	72
49	70	70
50	71	68
51	72	66
52	73	65
53	74	63
54	76	62
55	77	60
56	79	59
57	80	58
58	80	56
59	81	54
60	82	52
61	84	51
62	84	49
63	85	48
64	86	46
65	87	45
66	87	43
67	89	42
68	90	40
69	91	39
70	91	37
71	94	36
72	95	35
73	98	34
74	101	33
75	101	32
76	103	30
77	104	29
78	104	27
79	107	26
80	109	25
81	110	24
82	112	22
83	112	21
84	114	20
85	115	18
86	115	17
87	116	15
88	117	14
89	117	13
90	118	11
91	119	10
92	121	9
93	123	7
94	126	6
95	127	5
96	128	3
97	130	2
98	130	1
99	131	0
