image,text,confidence,bbox,price_cny,price_usd,shipping_price,bid_times
微信图片_20251017223412_5_1274.jpg,商品,0.9812,"[[np.int32(537), np.int32(199)], [np.int32(641), np.int32(199)], [np.int32(641), np.int32(259)], [np.int32(537), np.int32(259)]]",,,,
微信图片_20251017223412_5_1274.jpg,Clmelrn,0.2657,"[[np.int32(377), np.int32(338)], [np.int32(828), np.int32(338)], [np.int32(828), np.int32(410)], [np.int32(377), np.int32(410)]]",,,,
微信图片_20251017223412_5_1274.jpg,SICOeTUReS,0.1421,"[[np.int32(442), np.int32(396)], [np.int32(760), np.int32(396)], [np.int32(760), np.int32(444)], [np.int32(442), np.int32(444)]]",,,,
微信图片_20251017223412_5_1274.jpg,CCLu,0.0073,"[[np.int32(545), np.int32(815)], [np.int32(657), np.int32(815)], [np.int32(657), np.int32(835)], [np.int32(545), np.int32(835)]]",,,,
微信图片_20251017223412_5_1274.jpg,2,0.1952,"[[np.int32(382), np.int32(998)], [np.int32(406), np.int32(998)], [np.int32(406), np.int32(1030)], [np.int32(382), np.int32(1030)]]",,,,
微信图片_20251017223412_5_1274.jpg,WARRIORS,0.8979,"[[np.int32(543), np.int32(1073)], [np.int32(659), np.int32(1073)], [np.int32(659), np.int32(1093)], [np.int32(543), np.int32(1093)]]",,,,
微信图片_20251017223412_5_1274.jpg,STEPHENCURRY,0.9713,"[[np.int32(457), np.int32(1092)], [np.int32(746), np.int32(1092)], [np.int32(746), np.int32(1129)], [np.int32(457), np.int32(1129)]]",,,,
微信图片_20251017223412_5_1274.jpg,结束时间: 2024-12-2021:34:02,0.7791,"[[np.int32(54), np.int32(1258)], [np.int32(638), np.int32(1258)], [np.int32(638), np.int32(1312)], [np.int32(54), np.int32(1312)]]",,,,
微信图片_20251017223412_5_1274.jpg,2022-23 Panini prizm Stephen Curry PZ,0.7525,"[[np.int32(54), np.int32(1337)], [np.int32(1086), np.int32(1337)], [np.int32(1086), np.int32(1410)], [np.int32(54), np.int32(1410)]]",,,,
微信图片_20251017223412_5_1274.jpg,系列勇士史蒂芬  库里  签字 晚安,0.3099,"[[np.int32(58), np.int32(1402)], [np.int32(856), np.int32(1402)], [np.int32(856), np.int32(1476)], [np.int32(58), np.int32(1476)]]",,,,
微信图片_20251017223412_5_1274.jpg,Champion 冠军签 捧杯  双奖杯选图  银折 W,0.4956,"[[np.int32(53), np.int32(1474)], [np.int32(1108), np.int32(1474)], [np.int32(1108), np.int32(1549)], [np.int32(53), np.int32(1549)]]",,,,
